Unnamed: 0,ID_SUBEST,SUBTIPO,NOMBRE,PROPIEDAD,TENSION_KV,TIPO,F_OPERACIO,RCA,SIST_ELECT,ESTADO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
298,238,100,S/E CENTRAL CENIZAS,ELECTRICA CENIZAS S.A.,110,DEDICADO,2009-04-01,S/I,SEN,OPERATIVA,362564.72944478,6959113.00216534,19 S,WGS84,3.0,31.0,3101.0,CEN,2014-12-04,2023-03-30,POINT (-70.391159 -27.484653),-27.484653,-70.391159
299,1807,100,S/E 640,MINERA ESCONDIDA LTDA.,"69/4,16",DEDICADO,2002-01-01,S/I,SEN,OPERATIVA,494472.00008902,7316517.98851774,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-69.05446179999996 -24.264229548999936),-24.264229548999936,-69.05446179999996
300,1813,100,S/E ALTO NORTE,COMPLEJO METALURGICO ALTONORTE S.A.,"110/13,2",DEDICADO,1993-01-01,S/I,SEN,OPERATIVA,365526.00442212,7364445.40243098,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.320266 -23.825694),-23.825694,-70.320266
301,380,100,S/E ARENAS BLANCAS,CGE TRANSMISION S.A.,66/15,ZONAL,1995-01-01,S/I,SEN,OPERATIVA,662202.57337336,5902266.34442088,18 S,WGS84,8.0,81.0,8102.0,CEN,2014-12-04,2023-03-30,POINT (-73.176813 -37.011786),-37.011786,-73.176813
302,1723,100,S/E CENTRAL LALACKAMA,ENEL GREEN POWER CHILE S.A.,33,DEDICADO,,S/I,SEN,OPERATIVA,367562.46451484,7222505.40134121,19 S,WGS84,2.0,21.0,2104.0,CEN,2014-12-04,2023-03-30,POINT (-70.313507 -25.107493),-25.107493,-70.313507
303,1910,100,S/E O'HIGGINS,AES ANDES S.A.,220,NACIONAL,1999-01-01,S/I,SEN,OPERATIVA,376124.47374188,7379326.58421045,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.214981 -23.692165),-23.692165,-70.214981
304,1838,100,S/E CENTRAL TARAPACA,ENEL GENERACION CHILE S.A.,"220/13,8/11,5",NACIONAL,1999-01-01,S/I,SEN,OPERATIVA,375803.24588799,7698922.69680386,19 S,WGS84,1.0,11.0,1101.0,CEN,2014-12-04,2023-03-30,POINT (-70.193413 -20.805462),-20.805462,-70.193413
305,1756,100,S/E PICHIL,SISTEMA DE TRANSMISION DEL SUR S.A.,66/23,ZONAL,2015-09-29,S/I,SEN,OPERATIVA,668501.29141147,5492017.8189242,18 S,WGS84,10.0,103.0,10301.0,CEN,2014-12-04,2023-03-30,POINT (-73.005366 -40.70553),-40.70553,-73.005366
306,357,100,S/E EL SAUCE,CGE TRANSMISION S.A.,"66/13,2",ZONAL,,S/I,SEN,OPERATIVA,296605.6097053,6560188.79106819,19 S,WGS84,4.0,43.0,4302.0,CEN,2014-12-04,2023-03-30,POINT (-71.131969 -31.074491),-31.074491,-71.131969
307,1887,100,S/E KELAR,SISTEMA DE TRANSMISION DEL NORTE S.A.,220,DEDICADO,2016-05-02,S/I,SEN,OPERATIVA,362807.84776772,7452097.54665198,19 S,WGS84,2.0,21.0,2102.0,CEN,2014-12-04,2023-03-30,POINT (-70.338951 -23.033924),-23.033924,-70.338951
308,2302,102,CENTRAL EL TRARO,EDELAYSEN,23,NO APLICA,1987-01-01,S/I,EDELAYSEN,OPERATIVA,680056.73370896,4766706.93519717,18 S,WGS84,11.0,113.0,11301.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-72.621421 -47.228426000999946),-47.228426000999946,-72.621421
309,2091,100,S/E AURORA,SIN INFORMACION,220/33,S/I,,S/I,SEN,OPERATIVA,657362.53793233,5431603.33853661,18 S,WGS84,10.0,101.0,10107.0,CEN,2014-12-04,2023-03-30,POINT (-73.12178 -41.251672),-41.251672,-73.12178
310,944,100,S/E LAUTARO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,,S/I,SEN,OPERATIVA,723854.65388751,5732764.43828179,18 S,WGS84,9.0,91.0,9108.0,CEN,2014-12-04,2023-03-30,POINT (-72.43209 -38.525382),-38.525382,-72.43209
311,932,100,S/E PANGUILEMO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,,S/I,SEN,OPERATIVA,264917.33136131,6083052.53780548,19 S,WGS84,7.0,71.0,7101.0,CEN,2014-12-04,2023-03-30,POINT (-71.587554 -35.368176),-35.368176,-71.587554
312,421,100,S/E OVALLE,CGE TRANSMISION S.A.,220/66/23/13,ZONAL,1960-01-01,S/I,SEN,OPERATIVA,290282.20252441,6613133.86368836,19 S,WGS84,4.0,43.0,4301.0,CEN,2014-12-04,2023-03-30,POINT (-71.187352 -30.595982),-30.595982,-71.187352
313,1878,100,S/E GABY,CODELCO CHILE - DIVISION GABRIELA MISTRAL,220/23,DEDICADO,2007-12-02,64/2007,SEN,OPERATIVA,518125.88435862,7407589.57239138,19 S,WGS84,2.0,21.0,2103.0,CEN,2014-12-04,2023-03-30,POINT (-68.822548 -23.441538),-23.441538,-68.822548
314,1983,100,TAP OFF VITOR N°2 MOVIL,ENGIE ENERGIA CHILE S.A.,23,ZONAL,2014-06-27,S/I,SEN,OPERATIVA,377563.21418899,7905096.00166246,19 S,WGS84,15.0,151.0,15102.0,CEN,2014-12-04,2023-03-30,POINT (-70.16283599199994 -18.942820001999962),-18.94282000199996,-70.16283599199994
315,410,100,S/E PUCHOCO,CGE TRANSMISION S.A.,66/15,ZONAL,1995-01-01,S/I,SEN,OPERATIVA,662172.08206922,5901040.85647371,18 S,WGS84,8.0,81.0,8102.0,CEN,2014-12-04,2023-03-30,POINT (-73.17689171999996 -37.02283269999998),-37.02283269999998,-73.17689171999996
316,589,100,S/E SAN VICENTE,TRANSELEC S.A.,"154/66/13,2",DEDICADO,1949-01-01,S/I,SEN,OPERATIVA,667411.62332384,5931473.38142449,18 S,WGS84,8.0,81.0,8110.0,CEN,2014-12-04,2023-03-30,POINT (-73.124738 -36.747724),-36.747724,-73.124738
317,1697,100,S/E DON GOYO,DON GOYO TRANSMISION S.A.,220,NACIONAL,2014-03-20,S/I,SEN,OPERATIVA,260805.1192517,6618022.18403382,19 S,WGS84,4.0,43.0,4301.0,CEN,2014-12-04,2023-03-30,POINT (-71.493439 -30.546383),-30.546383,-71.493439
318,2157,100,S/E QUILMO II,COOPERATIVA DE CONSUMO DE ENERGIA ELECTRICA CHILLAN LTDA.,66/33,ZONAL,2022-01-24,S/I,SEN,OPERATIVA,759140.11307278,5940597.67481953,18 S,WGS84,16.0,161.0,16101.0,CEN,2014-12-04,2023-03-30,POINT (-72.101312 -36.644961),-36.644961,-72.101312
319,884,100,S/E ALGARROBO,COMPANIA MINERA DEL PACIFICO S.A.,"110/4,16",ZONAL,1977-01-01,S/I,SEN,OPERATIVA,306955.68397988,6812601.24615495,19 S,WGS84,3.0,33.0,3301.0,CEN,2014-12-04,2023-03-30,POINT (-70.977962 -28.799688),-28.799688,-70.977962
320,2299,100,S/E RIO SALADO,AUSTRIAN SOLAR CHILE UNO SPA,110,DEDICADO,2022-01-31,S/I,SEN,OPERATIVA,408000.00092421,7086799.98786973,19 S,WGS84,3.0,32.0,3202.0,CEN,2014-12-04,2023-03-30,POINT (-69.92189850299997 -26.33579285999997),-26.33579285999997,-69.92189850299997
321,1831,100,S/E CENTRAL DIESEL TAMAYA,ENGIE ENERGIA CHILE S.A.,110/33/11,DEDICADO,2008-12-30,S/I,SEN,OPERATIVA,387652.62721432,7548596.27055517,19 S,WGS84,2.0,23.0,2301.0,CEN,2014-12-04,2023-03-30,POINT (-70.089629 -22.16419),-22.16419,-70.089629
322,1916,100,S/E PALAFITOS,CGE TRANSMISION S.A.,"110/13,8",ZONAL,2001-02-01,199/2000,SEN,OPERATIVA,381815.00034385,7763959.00022667,19 S,WGS84,1.0,11.0,1101.0,CEN,2014-12-04,2023-03-30,POINT (-70.13133068999997 -20.218291249999936),-20.218291249999936,-70.13133068999997
323,2316,102,ISLA CHAULINEC,SAGESA,23,NO APLICA,2015-01-01,S/I,EDELAYSEN,OPERATIVA,642243.25050083,5278393.64590145,18 S,WGS84,10.0,102.0,10210.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-73.265153 -42.633776000999944),-42.63377600099994,-73.265153
324,651,100,S/E PLACILLA,CGE TRANSMISION S.A.,"66/13,2",ZONAL,2005-01-01,S/I,SEN,OPERATIVA,304626.03322496,6164227.13644366,19 S,WGS84,6.0,63.0,6308.0,CEN,2014-12-04,2023-03-30,POINT (-71.131711 -34.645271),-34.645271,-71.131711
325,363,100,S/E GRANEROS,CGE TRANSMISION S.A.,66/15,ZONAL,1985-01-01,S/I,SEN,OPERATIVA,342169.43592736,6229766.46512617,19 S,WGS84,6.0,61.0,6106.0,CEN,2014-12-04,2023-03-30,POINT (-70.710215 -34.06095),-34.06095,-70.710215
326,1763,100,S/E SEWELL,CODELCO CHILE - DIVISION EL TENIENTE,110/33,DEDICADO,2016-01-01,S/I,SEN,OPERATIVA,372365.09051948,6227369.11152737,19 S,WGS84,6.0,61.0,6108.0,CEN,2014-12-04,2023-03-30,POINT (-70.383467 -34.086682),-34.086682,-70.383467
327,794,100,S/E QUINTERO,CHILQUINTA TRANSMISION S.A.,"115/13,2",ZONAL,1964-01-01,S/I,SEN,OPERATIVA,267290.33662226,6373496.4947746,19 S,WGS84,5.0,51.0,5105.0,CEN,2014-12-04,2023-03-30,POINT (-71.483859 -32.751814),-32.751814,-71.483859
328,294,100,S/E CENTRAL LOS ESPINOS,ESPINOS S.A.,220/23,DEDICADO,2009-03-25,S/I,SEN,OPERATIVA,268230.95918043,6469873.96993252,19 S,WGS84,4.0,42.0,4203.0,CEN,2014-12-04,2023-03-30,POINT (-71.450312 -31.883362),-31.883362,-71.450312
329,2242,100,S/E FAENAS PANGUE,PALMUCHO S.A.,"13,2",DEDICADO,1993-01-01,S/I,SEN,OPERATIVA,270135.66599859,5801355.8695038,19 S,WGS84,8.0,83.0,8314.0,CEN,2014-12-04,2023-03-30,POINT (-71.614577 -37.906316),-37.906316,-71.614577
330,573,100,S/E HUALPEN,TRANSELEC S.A.,154/66,NACIONAL,1998-01-01,S/I,SEN,OPERATIVA,667589.57514017,5926983.95350047,18 S,WGS84,8.0,81.0,8112.0,CEN,2014-12-04,2023-03-30,POINT (-73.121759 -36.788142),-36.788142,-73.121759
331,1869,100,S/E ESCONDIDA,MINERA ESCONDIDA LTDA.,"229/13,8/6,9",DEDICADO,1989-07-15,S/I,SEN,OPERATIVA,493905.42844187,7316908.3182618,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-69.060042 -24.260702),-24.260702,-69.060042
332,2226,100,S/E CALAMA NUEVA,EMPRESA DE TRANSMISION ELECTRICA TRANSEMEL S.A.,220/110/23,NACIONAL,2015-01-01,S/I,SEN,OPERATIVA,507981.62499447,7519713.12075634,19 S,WGS84,2.0,22.0,2201.0,CEN,2014-12-04,2023-03-30,POINT (-68.922439 -22.42875),-22.42875,-68.922439
333,232,100,S/E CENTRAL LOS PINOS,COLBUN S.A.,"220/11,5",DEDICADO,2009-01-01,S/I,SEN,OPERATIVA,737789.45633222,5892168.90382276,18 S,WGS84,8.0,83.0,8303.0,CEN,2014-12-04,2023-03-30,POINT (-72.324719 -37.086625),-37.086625,-72.324719
334,700,100,S/E LO VALLEDOR,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110/12,ZONAL,1962-01-01,S/I,SEN,OPERATIVA,343085.2605417,6294751.59681696,19 S,WGS84,13.0,131.0,13106.0,CEN,2014-12-04,2023-03-30,POINT (-70.68876 -33.475227),-33.475227,-70.68876
335,706,100,S/E MALLOCO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110/23/12,ZONAL,2012-01-01,S/I,SEN,OPERATIVA,327605.21542827,6279587.11260415,19 S,WGS84,13.0,136.0,13605.0,CEN,2014-12-04,2023-03-30,POINT (-70.858212 -33.609551),-33.609551,-70.858212
336,283,100,S/E CALERA CENTRO,ALFA TRANSMISORA DE ENERGIA S.A.,62/60,DEDICADO,1982-01-01,S/I,SEN,OPERATIVA,294094.00033482,6369957.00041595,19 S,WGS84,5.0,55.0,5502.0,CEN,2014-12-04,2023-03-30,POINT (-71.19874483999996 -32.78906244999996),-32.78906244999996,-71.19874483999996
337,2071,100,S/E MAYACA,CHILQUINTA TRANSMISION S.A.,12,ZONAL,2018-12-31,S/I,SEN,OPERATIVA,291387.00306751,6361181.98409647,19 S,WGS84,5.0,55.0,5501.0,CEN,2014-12-04,2023-03-30,POINT (-71.22960891699995 -32.86764784199994),-32.86764784199994,-71.22960891699995
338,2079,100,S/E PUNTA SIERRA,PACIFIC HYDRO PUNTA SIERRA SPA,220,NACIONAL,2018-05-25,S/I,SEN,OPERATIVA,250770.93467194,6552371.91563051,19 S,WGS84,4.0,43.0,4301.0,CEN,2014-12-04,2023-03-30,POINT (-71.613952 -31.136116),-31.136116,-71.613952
339,2312,100,S/E LASTARRIA,TRANSELEC S.A.,220/66,NACIONAL,2022-06-30,41/2020,SEN,OPERATIVA,704202.29692351,5641871.40344414,18 S,WGS84,9.0,91.0,9109.0,CEN,2014-12-04,2023-03-30,POINT (-72.63024594599995 -39.34849204999995),-39.34849204999995,-72.63024594599995
340,492,100,S/E LAS ENCINAS,CGE TRANSMISION S.A.,66/15,ZONAL,2008-01-01,S/I,SEN,OPERATIVA,706444.77781472,5708451.35619712,18 S,WGS84,9.0,91.0,9101.0,CEN,2014-12-04,2023-03-30,POINT (-72.62442006999999 -38.74850991999995),-38.74850991999995,-72.62442006999999
341,877,100,S/E CEMENTO MELON,MELON S.A,62/60/44,ZONAL,1947-11-10,S/I,SEN,OPERATIVA,294113.64029301,6369886.01441949,19 S,WGS84,5.0,55.0,5502.0,CEN,2014-12-04,2023-03-30,POINT (-71.198551 -32.789706),-32.789706,-71.198551
342,1821,100,S/E BOOSTER,MINERA ESCONDIDA LTDA.,"69/4,16",DEDICADO,2013-12-12,S/I,SEN,OPERATIVA,500147.9997994,7314507.9999422,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-68.99854169999998 -24.282393439999964),-24.282393439999964,-68.99854169999998
343,1824,100,S/E CAPRICORNIO,ENGIE ENERGIA CHILE S.A.,"110/13,8",ZONAL,1999-02-01,3/1999,SEN,OPERATIVA,375803.34029577,7405323.04747101,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.215966 -23.457373),-23.457373,-70.215966
344,2310,101,PUNTA ARENAS,EDELMAG,66,NO APLICA,2001-01-01,S/I,EDELMAG,OPERATIVA,372458.80103504,4108794.70587914,19 S,WGS84,12.0,121.0,12101.0,EDELMAG,2014-12-04,2023-03-30,POINT (-70.90740273499995 -53.15493603099998),-53.15493603099998,-70.90740273499995
345,1769,100,S/E CENTRAL RENAICO (ESPINOS S.A.),ESPINOS S.A.,23,DEDICADO,2012-12-01,S/I,SEN,OPERATIVA,727499.99636834,5811692.98217661,18 S,WGS84,8.0,83.0,8305.0,CEN,2014-12-04,2023-03-30,POINT (-72.41554491299996 -37.813835722999954),-37.813835722999954,-72.41554491299996
346,229,100,S/E CENTRAL SAN IGNACIO,COLBUN S.A.,"66/13,6",DEDICADO,1996-01-01,S/I,SEN,OPERATIVA,269864.13474534,6055839.85064946,19 S,WGS84,7.0,74.0,7408.0,CEN,2014-12-04,2023-03-30,POINT (-71.540863 -35.614457),-35.614457,-71.540863
347,288,100,S/E CENTRAL LIRCAY,HIDROELECTRICA RIO LIRCAY S.A.,"66/6,6",DEDICADO,2008-10-01,S/I,SEN,OPERATIVA,294965.2913752,6065048.98389967,19 S,WGS84,7.0,71.0,7109.0,CEN,2014-12-04,2023-03-30,POINT (-71.261599 -35.537012),-35.537012,-71.261599
348,1998,100,S/E CENTRAL RIO COLORADO,HIDROELECTRICA RIO COLORADO S.A.,"66/13,8",DEDICADO,2017-03-03,S/I,SEN,OPERATIVA,324853.58909336,6032855.63550287,19 S,WGS84,7.0,71.0,7109.0,CEN,2014-12-04,2023-03-30,POINT (-70.939114 -35.832846),-35.832846,-70.939114
349,645,100,S/E LIHUEIMO,CGE TRANSMISION S.A.,"66/13,2",ZONAL,1999-01-01,S/I,SEN,OPERATIVA,278891.27636958,6175255.1656939,19 S,WGS84,6.0,63.0,6306.0,CEN,2014-12-04,2023-03-30,POINT (-71.409422 -34.540678),-34.540678,-71.409422
350,1131,100,TAP OFF MAURO,MINERA LOS PELAMBRES,220,DEDICADO,2006-12-11,S/I,SEN,OPERATIVA,325039.00229235,6463926.9994746,19 S,WGS84,4.0,42.0,4204.0,CEN,2014-12-04,2023-03-30,POINT (-70.85111042599993 -31.947145285999966),-31.94714528599997,-70.85111042599993
351,2296,102,ISLA CAGUACH,SAGESA,23,NO APLICA,2015-01-01,S/I,EDELAYSEN,OPERATIVA,643054.64869831,5296036.99391829,18 S,WGS84,10.0,102.0,10210.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-73.259681 -42.47480700099993),-42.47480700099993,-73.259681
352,315,100,S/E CENTRAL CHUYACA,SAGESA S.A.,63/23,DEDICADO,2009-04-11,S/I,SEN,OPERATIVA,661797.99992829,5506240.00002812,18 S,WGS84,10.0,103.0,10301.0,CEN,2014-12-04,2023-03-30,POINT (-73.08833133999997 -40.578820389999976),-40.578820389999976,-73.08833133999997
353,1662,100,S/E MULCHEN,ALFA TRANSMISORA DE ENERGIA S.A.,220,NACIONAL,2013-05-01,238/2011,SEN,OPERATIVA,742160.00028327,5826008.99985627,18 S,WGS84,8.0,83.0,8305.0,CEN,2014-12-04,2023-03-30,POINT (-72.25394466999995 -37.68117983999997),-37.68117983999997,-72.25394466999995
354,1703,100,S/E CENTRAL SAN PEDRO DALCAHUE,ALBA S.A.,110,DEDICADO,2014-04-01,S/I,SEN,OPERATIVA,590996.00007904,5319314.99958943,18 S,WGS84,10.0,102.0,10205.0,CEN,2014-12-04,2023-03-30,POINT (-73.89652455999999 -42.273069419999956),-42.27306941999996,-73.89652455999999
355,2319,102,CUCHILDEO,SAGESA,23,NO APLICA,2008-01-01,S/I,EDELAYSEN,OPERATIVA,708470.30613324,5351572.12530962,18 S,WGS84,10.0,104.0,10403.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-72.484429 -41.96028700099998),-41.96028700099998,-72.484429
356,2130,100,S/E SAUZAL 60HZ,PACIFIC HYDRO CHILE S.A.,"69/13,2",DEDICADO,1914-01-01,S/I,SEN,OPERATIVA,349731.00197726,6208736.98577532,19 S,WGS84,6.0,61.0,6108.0,CEN,2014-12-04,2023-03-30,POINT (-70.63195329999996 -34.25164399099998),-34.25164399099998,-70.63195329999996
357,862,100,S/E LOS BRONCES,ANGLO AMERICAN LOS BRONCES,66,DEDICADO,2003-01-01,S/I,SEN,OPERATIVA,380175.43853551,6331521.8593898,19 S,WGS84,13.0,131.0,13115.0,CEN,2014-12-04,2023-03-30,POINT (-70.284813 -33.148442),-33.148442,-70.284813
358,888,100,S/E CELULOSA LAJA,CMPC PULP SPA.,"220/13,2/6",DEDICADO,1959-01-01,S/I,SEN,OPERATIVA,703099.3549351,5870628.96553911,18 S,WGS84,8.0,83.0,8304.0,CEN,2014-12-04,2023-03-30,POINT (-72.70884 -37.288795),-37.288795,-72.70884
359,983,100,S/E PETRODOW,ENAP REFINERIAS S.A.,"4,16",DEDICADO,1969-01-01,S/I,SEN,OPERATIVA,667122.63189423,5929361.60611051,18 S,WGS84,8.0,81.0,8110.0,CEN,2014-12-04,2023-03-30,POINT (-73.127511 -36.766802),-36.766802,-73.127511
360,488,100,S/E ROSARIO,CGE TRANSMISION S.A.,66/15,DEDICADO,2008-01-01,198/2007,SEN,OPERATIVA,332105.547496,6197773.23293125,19 S,WGS84,6.0,61.0,6115.0,CEN,2014-12-04,2023-03-30,POINT (-70.825426 -34.347773),-34.347773,-70.825426
361,2026,100,S/E CUMBRE,TRANSMISORA ELECTRICA DEL NORTE S.A.,500/220/66,NACIONAL,2017-09-29,S/I,SEN,OPERATIVA,401189.80822245,7095501.75070863,19 S,WGS84,3.0,32.0,3202.0,CEN,2014-12-04,2023-03-30,POINT (-69.989466 -26.256777),-26.256777,-69.989466
362,1919,100,S/E POZO ALMONTE,ENGIE ENERGIA CHILE S.A.,"220/110/66/23/13,8",NACIONAL,1987-06-01,S/I,SEN,OPERATIVA,419235.00016089,7759724.99968973,19 S,WGS84,1.0,14.0,1401.0,CEN,2014-12-04,2023-03-30,POINT (-69.77334559999997 -20.258490279999933),-20.258490279999933,-69.77334559999997
363,515,100,S/E PID PID,SISTEMA DE TRANSMISION DEL SUR S.A.,110/23,ZONAL,2003-01-01,334/2000,SEN,OPERATIVA,600893.92173268,5303358.30195212,18 S,WGS84,10.0,102.0,10201.0,CEN,2014-12-04,2023-03-30,POINT (-73.773732 -42.415527),-42.415527,-73.773732
364,608,100,S/E LAGUNILLAS,TRANSELEC S.A.,220/154/66,NACIONAL,2011-01-01,S/I,SEN,OPERATIVA,665985.20466462,5904778.9135606,18 S,WGS84,8.0,81.0,8102.0,CEN,2014-12-04,2023-03-30,POINT (-73.134869 -36.988488),-36.988488,-73.134869
365,1944,100,TAP OFF 537,MINERA ESCONDIDA LTDA.,"69/4,16",DEDICADO,2016-06-14,S/I,SEN,OPERATIVA,495041.88966979,7309072.89923529,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-69.048873 -24.331475),-24.331475,-69.048873
366,566,100,S/E CHARRUA,TRANSELEC S.A.,"500/220/154/66/13,2",NACIONAL,1948-01-01,S/I,SEN,OPERATIVA,738181.84128539,5891734.49027839,18 S,WGS84,8.0,83.0,8303.0,CEN,2014-12-04,2023-03-30,POINT (-72.320171 -37.090437),-37.090437,-72.320171
367,837,100,S/E CABRERO,SISTEMA DE TRANSMISION DEL SUR S.A.,"66/23/12,2",ZONAL,1994-01-01,S/I,SEN,OPERATIVA,731537.67632016,5897498.32420026,18 S,WGS84,8.0,83.0,8303.0,CEN,2014-12-04,2023-03-30,POINT (-72.39663 -37.040199),-37.040199,-72.39663
368,828,100,S/E RECINTO,COOPERATIVA DE CONSUMO DE ENERGIA ELECTRICA CHILLAN LTDA.,33/23,ZONAL,1997-04-27,S/I,SEN,OPERATIVA,262384.31211581,5919717.13916661,19 S,WGS84,16.0,161.0,16106.0,CEN,2014-12-04,2023-03-30,POINT (-71.664663 -36.838606),-36.838606,-71.664663
369,2094,100,S/E CERRO DOMINADOR,CERRO DOMINADOR CSP S.A.,220,DEDICADO,2017-07-17,S/I,SEN,OPERATIVA,453617.83139395,7480771.76437743,19 S,WGS84,2.0,23.0,2302.0,CEN,2014-12-04,2023-03-30,POINT (-69.451858 -22.779921),-22.779921,-69.451858
370,2276,102,HIELOS DEL SUR II,EDELAYSEN,23,NO APLICA,2003-01-01,S/I,EDELAYSEN,OPERATIVA,677432.20198989,4623515.32157357,18 S,WGS84,11.0,113.0,11302.0,EDELAYSEN,2014-12-04,2023-03-30,POINT (-72.59724814699996 -48.51638437399998),-48.51638437399998,-72.59724814699996
371,1622,100,S/E RIO BONITO,SISTEMA DE TRANSMISION DEL SUR S.A.,23,DEDICADO,2012-08-20,506/2011,SEN,OPERATIVA,718185.2968236,5468062.14008233,18 S,WGS84,10.0,103.0,10302.0,CEN,2014-12-04,2023-03-30,POINT (-72.409361 -40.909461),-40.909461,-72.409361
372,2060,100,S/E NUEVA PICHIRROPULLI,ELETRANS S.A.,220,NACIONAL,2017-07-08,S/I,SEN,OPERATIVA,679977.70261864,5552047.7245183,18 S,WGS84,14.0,141.0,14107.0,CEN,2014-12-04,2023-03-30,POINT (-72.886596 -40.162658),-40.162658,-72.886596
373,2255,100,S/E CATILLO,ELECTRICA DIGUA SPA,220,S/I,2021-05-19,S/I,SEN,OPERATIVA,270022.15308551,5985611.89192851,19 S,WGS84,7.0,74.0,7404.0,CEN,2014-12-04,2023-03-30,POINT (-71.55944 -36.247044),-36.247044,-71.55944
374,2359,100,S/E CENTRAL COLBUN,COLBUN S.A.,"220/13,8",NACIONAL,1985-01-01,S/I,SEN,OPERATIVA,284999.37330163,6048272.95324274,19 S,WGS84,7.0,74.0,7402.0,CEN,2014-12-04,2023-03-30,POINT (-71.37591104399996 -35.68603237699995),-35.68603237699995,-71.37591104399996
375,955,100,S/E R2,FUNDICION TALLERES LTDA.,"66/13,8",S/I,2015-10-11,S/I,SEN,OPERATIVA,338457.99964735,6216755.00012238,19 S,WGS84,6.0,61.0,6101.0,CEN,2014-12-04,2023-03-30,POINT (-70.75283406999995 -34.17767600999997),-34.17767600999997,-70.75283406999995
376,694,100,S/E LAMPA,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220/23,DEDICADO,1968-01-01,S/I,SEN,OPERATIVA,336387.64922965,6311974.0975161,19 S,WGS84,13.0,133.0,13302.0,CEN,2014-12-04,2023-03-30,POINT (-70.757683 -33.318954),-33.318954,-70.757683
377,785,100,S/E LAS VEGAS (CHILQUINTA),CHILQUINTA TRANSMISION S.A.,"110/44/23/13,2/12",ZONAL,1966-01-01,S/I,SEN,OPERATIVA,311681.38761065,6364305.92947123,19 S,WGS84,5.0,57.0,5703.0,CEN,2014-12-04,2023-03-30,POINT (-71.012193 -32.843163),-32.843163,-71.012193
378,791,100,S/E PLAYA ANCHA,CHILQUINTA TRANSMISION S.A.,110/12,ZONAL,1984-01-01,S/I,SEN,OPERATIVA,252721.63900556,6340808.46663277,19 S,WGS84,5.0,51.0,5101.0,CEN,2014-12-04,2023-03-30,POINT (-71.647977 -33.043185),-33.043185,-71.647977
379,634,100,S/E EL MONTE,CGE TRANSMISION S.A.,"66/13,2",ZONAL,,S/I,SEN,OPERATIVA,317506.65633085,6268379.6867215,19 S,WGS84,13.0,136.0,13601.0,CEN,2014-12-04,2023-03-30,POINT (-70.969309 -33.708893),-33.708893,-70.969309
380,717,100,S/E SAN BERNARDO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110/12,ZONAL,1975-01-01,S/I,SEN,OPERATIVA,340653.50345787,6279790.1604806,19 S,WGS84,13.0,134.0,13401.0,CEN,2014-12-04,2023-03-30,POINT (-70.717588 -33.609753),-33.609753,-70.717588
381,1045,100,TAP OFF ALTO MELIPILLA (CGE),CGE TRANSMISION S.A.,110,ZONAL,,S/I,SEN,OPERATIVA,292748.66309004,6269847.21400896,19 S,WGS84,13.0,135.0,13501.0,CEN,2014-12-04,2023-03-30,POINT (-71.23596559999999 -33.69112001899998),-33.69112001899998,-71.23596559999999
382,2168,100,S/E CENTRAL NUEVA VENTANAS,AES ANDES S.A.,"220/6,9",DEDICADO,,S/I,SEN,OPERATIVA,267420.88761882,6373795.04456853,19 S,WGS84,5.0,51.0,5105.0,CEN,2014-12-04,2023-03-30,POINT (-71.482392 -32.749151),-32.749151,-71.482392
383,509,100,S/E BARRO BLANCO,SISTEMA DE TRANSMISION DEL SUR S.A.,220/66/23,ZONAL,1998-01-01,S/I,SEN,OPERATIVA,661821.93585195,5506316.38498389,18 S,WGS84,10.0,103.0,10301.0,CEN,2014-12-04,2023-03-30,POINT (-73.08806826999995 -40.57812794999995),-40.57812794999995,-73.08806826999995
384,592,100,S/E VALDIVIA,TRANSELEC S.A.,220,NACIONAL,1989-01-01,S/I,SEN,OPERATIVA,655214.20913177,5592800.14358275,18 S,WGS84,14.0,141.0,14101.0,CEN,2014-12-04,2023-03-30,POINT (-73.186963 -39.800613),-39.800613,-73.186963
